site,lon180_requested,lat_requested,lon360_grid,lon180_grid,lat_grid,depth_idx,depth_mid_m,depth_top_m,depth_bot_m,dz_m,scenario,temp_C,pO2_kPa,zmeso,zmicro,I_day_rel,I_night_rel
BATS,-64.1667,31.6667,295.5,-64.5,31.5,35,6500,6250,6750,500,hist,NaN,NaN,NaN,NaN,9.99999996004197e-13,9.99999996004197e-13
BATS,-64.1667,31.6667,295.5,-64.5,31.5,1,2.5,0,6.25,6.25,ssp585,25.1259212493896,21.5948028564453,0.000965357816312462,0.0008008130826056,0.950951099395752,0.000950951070990413
BATS,-64.1667,31.6667,295.5,-64.5,31.5,2,10,6.25,15,8.75,ssp585,24.8205852508545,21.6469612121582,0.000991082633845508,0.000819578883238137,0.817772924900055,0.000817772932350636
BATS,-64.1667,31.6667,295.5,-64.5,31.5,3,20,15,26.25,11.25,ssp585,23.881929397583,21.8714294433594,0.00102189148310572,0.000828411430120468,0.668752551078796,0.000668752531055361
BATS,-64.1667,31.6667,295.5,-64.5,31.5,4,32.5,26.25,41.875,15.625,ssp585,22.4808216094971,22.0257968902588,0.00102721701841801,0.000769640202634037,0.520063519477844,0.000520063505973667
BATS,-64.1667,31.6667,295.5,-64.5,31.5,5,51.25,41.875,63.125,21.25,ssp585,20.7074241638184,21.1695137023926,0.000821773603092879,0.000538099615368992,0.356650412082672,0.000356650416506454
BATS,-64.1667,31.6667,295.5,-64.5,31.5,6,75,63.125,87.5,24.375,ssp585,19.3624629974365,19.3313312530518,0.000232801787205972,0.000127653125673532,0.22117979824543,0.00022117979824543
BATS,-64.1667,31.6667,295.5,-64.5,31.5,7,100,87.5,112.5,25,ssp585,18.9464015960693,18.7430171966553,0.000102114077890292,3.62046812369954e-05,0.133760318160057,0.000133760317112319
BATS,-64.1667,31.6667,295.5,-64.5,31.5,8,125,112.5,140.625,28.125,ssp585,18.8099117279053,18.6003837585449,7.4346833571326e-05,2.15966119867517e-05,0.0808926597237587,8.08926561148837e-05
BATS,-64.1667,31.6667,295.5,-64.5,31.5,9,156.25,140.625,178.125,37.5,ssp585,18.7135829925537,18.5228443145752,5.66286616958678e-05,1.49365187098738e-05,0.0431406199932098,4.31406187999528e-05
BATS,-64.1667,31.6667,295.5,-64.5,31.5,10,200,178.125,225,46.875,ssp585,18.6303443908691,18.4702072143555,4.08140076615382e-05,1.01101331893005e-05,0.0178918223828077,1.78918216988677e-05
BATS,-64.1667,31.6667,295.5,-64.5,31.5,11,250,225,281.25,56.25,ssp585,18.5729389190674,18.4285755157471,3.01678210234968e-05,7.04961894371081e-06,0.00654362188652158,6.54362202112679e-06
BATS,-64.1667,31.6667,295.5,-64.5,31.5,12,312.5,281.25,356.25,75,ssp585,18.5188102722168,18.3935012817383,2.28051230806159e-05,5.05797970618005e-06,0.00186111312359571,1.86111310540582e-06
BATS,-64.1667,31.6667,295.5,-64.5,31.5,13,400,356.25,450,93.75,ssp585,18.4465465545654,18.3426456451416,1.70261009770911e-05,3.53662312591041e-06,0.000320117309456691,3.20117294450029e-07
BATS,-64.1667,31.6667,295.5,-64.5,31.5,14,500,450,550,100,ssp585,18.3537368774414,18.261604309082,1.16132850962458e-05,2.11652400139428e-06,4.28189887315966e-05,4.28189892431874e-08
BATS,-64.1667,31.6667,295.5,-64.5,31.5,15,600,550,650,100,ssp585,18.0869598388672,17.9899215698242,6.95032076691859e-06,1.13253497602273e-06,5.72748149352265e-06,5.72748160010406e-09
BATS,-64.1667,31.6667,295.5,-64.5,31.5,16,700,650,750,100,ssp585,16.9666500091553,16.9207382202148,3.6636497497966e-06,6.08673985880159e-07,7.66109735650389e-07,7.66109731209497e-10
BATS,-64.1667,31.6667,295.5,-64.5,31.5,17,800,750,850,100,ssp585,14.5867404937744,15.1612205505371,1.18923628633638e-06,2.12084316331129e-07,1.02475084418074e-07,1.02475083973985e-10
BATS,-64.1667,31.6667,295.5,-64.5,31.5,18,900,850,950,100,ssp585,12.2779941558838,14.7662324905396,4.21858402432918e-07,7.46757820024868e-08,1.37070994554733e-08,1.37070996913957e-11
BATS,-64.1667,31.6667,295.5,-64.5,31.5,19,1000,950,1050,100,ssp585,9.9766263961792,15.429877281189,2.56540346299516e-07,4.57006663623361e-08,1.83346593463085e-09,1.83346588779332e-12
BATS,-64.1667,31.6667,295.5,-64.5,31.5,20,1100,1050,1150,100,ssp585,8.15678596496582,16.1789741516113,2.4949059707069e-07,4.74570249764383e-08,2.45244990981774e-10,9.99999996004197e-13
